x        fx         fpx 
14.8856  -2.99577  -0.938869
14.896  -3.00275  -0.938928
14.9064  -3.00974  -0.938987
14.9168  -3.01673  -0.939046
14.9272  -3.02372  -0.939105
14.9376  -3.03071  -0.939164
14.948  -3.0377  -0.939223
14.9584  -3.04469  -0.939281
14.9688  -3.05168  -0.93934
14.9792  -3.05868  -0.939398
14.9896  -3.06567  -0.939456
15  -3.07267  -0.939514
